Dimensions.Height,Dimensions.Length,Dimensions.Width,Engine Information.Driveline,Engine Information.Engine Type,Engine Information.Hybrid,Engine Information.Number of Forward Gears,Engine Information.Transmission,Fuel Information.City mpg,Fuel Information.Fuel Type,Fuel Information.Highway mpg,Identification.Classification,Identification.ID,Identification.Make,Identification.Model Year,Identification.Year,Engine Information.Engine Statistics.Horsepower,Engine Information.Engine Statistics.Torque,Speed.Maximum,Speed.Accelaration,Color,Price,number_of_owners,pets,smoking,location,number_of_replacements,km
147,96,34,All-wheel drive,Audi 2.0L 4 cylinder 211 hp 258 ft-lbs Turbo,True,6,6 Speed Automatic Select Shift,21,Gasoline,27,Automatic transmission,2009 Audi A4 Sedan 2.0 T Quattro AT,Audi,2009 Audi A4 Sedan,2009,211,258,225,8.2,Verde,60000,3,No,No,Coimbra,0,30000
147,96,34,All-wheel drive,Audi 3.2L 6 cylinder 265hp 243 ft-lbs,True,6,6 Speed Automatic Select Shift,17,Gasoline,26,Automatic transmission,2009 Audi A4 Sedan 3.2,Audi,2009 Audi A4 Sedan,2009,265,243,247,5.5,Laranja,70000,1,No,No,Portalegre,1,100000
172,63,87,Front-wheel drive,Acura 3.5L 6 Cylinder 280 hp 254 ft-lbs,True,6,6 Speed Automatic Select Shift,20,Gasoline,29,Automatic transmission,2012 Acura TL,Acura,2012 Acura TL,2012,280,254,250,4.5,Branco,80000,3,Yes,Yes,Aveiro,0,250000
172,63,87,All-wheel drive,Acura 3.7L 6 Cylinder 305 hp 273 ft-lbs,True,6,6 Speed Automatic Select Shift,18,Gasoline,26,Automatic transmission,2012 Acura TL SH-AWD,Acura,2012 Acura TL,2012,305,273,245,6.0,Prateado,80000,2,Yes,No,Porto,2,1000
226,243,201,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,True,6,6 Speed Automatic Select Shift,12,Gasoline,17,Automatic transmission,2010 BMW X5 M SUV,BMW,2010 BMW X5,2010,555,500,300,2.5,Laranja Lava,200000,1,Yes,Yes,Bragança,2,40000
226,243,201,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,True,6,6 Speed Automatic Select Shift,12,Gasoline,17,Automatic transmission,2011 BMW X5 M SUV,BMW,2011 BMW X5,2011,555,500,300,2.5,Laranja,200000,1,No,No,Vila Real,3,10000
148,12,191,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,True,6,6 Speed Automatic Select Shift,12,Gasoline,17,Automatic transmission,2010 BMW X6 M,BMW,2010 BMW X6,2010,555,500,270,1.9,Prateado,100000,3,Yes,Yes,Portalegre,3,250000
148,12,191,All-wheel drive,BMW 4.4L 8 cylinder 555hp 500 ft-lbs Turbo,True,6,6 Speed Automatic Select Shift,12,Gasoline,17,Automatic transmission,2011 BMW X6 M,BMW,2011 BMW X6,2011,555,500,300,1.9,Amarelo,100000,1,Yes,Yes,Guarda,3,10
112,22,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,True,5,5 Speed Manual,18,Gasoline,25,Manual transmission,2012 Chevrolet Colorado Work Truck,Chevrolet,2012 Chevrolet Colorado,2012,185,190,237,7.4,Azul Corrida,55000,3,No,No,Aveiro,1,100000
112,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,True,5,5 Speed Manual,18,Gasoline,25,Manual transmission,2012 Chevrolet Colorado Extended Cab Work Truck,Chevrolet,2012 Chevrolet Colorado,2012,185,190,223,7.2,Azul,50000,2,No,Yes,Braga,0,90000
120,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,True,4,4 Speed Automatic,18,Gasoline,25,Automatic transmission,2012 Chevrolet Colorado Crew Cab 1LT,Chevrolet,2012 Chevrolet Colorado,2012,185,190,230,8.5,Encarnado,65000,4,No,Yes,Coimbra,1,30000
112,22,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,True,5,5 Speed Manual,18,Gasoline,25,Manual transmission,2011 Chevrolet Colorado Work Truck,Chevrolet,2011 Chevrolet Colorado,2011,185,190,225,6.5,Azul,55000,3,Yes,No,Beja,3,150000
112,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,True,5,5 Speed Manual,18,Gasoline,25,Manual transmission,2011 Chevrolet Colorado Extended Cab Work Truck,Chevrolet,2011 Chevrolet Colorado,2011,185,190,225,7.5,Branco,60000,1,No,Yes,Madeira,1,5000
120,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,True,4,4 Speed Automatic,18,Gasoline,25,Automatic transmission,2011 Chevrolet Colorado Crew Cab 1LT,Chevrolet,2011 Chevrolet Colorado,2011,185,190,222,7.0,Azul Corrida,65000,2,No,Yes,Açores,0,60000
112,22,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,True,5,5 Speed Manual,18,Gasoline,25,Manual transmission,2010 Chevrolet Colorado Work Truck,Chevrolet,2010 Chevrolet Colorado,2010,185,190,217,7.8,Branco,65000,1,Yes,Yes,Évora,0,100000
112,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,True,5,5 Speed Manual,20,Gasoline,26,Manual transmission,2010 Chevrolet Colorado Extended Cab Work Truck,Chevrolet,2010 Chevrolet Colorado,2010,185,190,220,6.5,Verde,55000,5,Yes,Yes,Guarda,3,150000
120,140,181,Rear-wheel drive,Chevrolet 2.9L 4 Cylinder 185 hp 190 ft-lbs,True,4,4 Speed Automatic,18,Gasoline,25,Automatic transmission,2010 Chevrolet Colorado Crew Cab LT1,Chevrolet,2010 Chevrolet Colorado,2010,185,190,220,6.5,Verde Corrida,45000,1,Yes,Yes,Beja,3,1000
77,60,219,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,True,4,4 Speed Automatic,13,Gasoline,18,Automatic transmission,2012 Chevrolet Express LS 1500,Chevrolet,2012 Chevrolet Express,2012,310,334,255,5.5,Cinzento,85000,3,No,Yes,Lisboa,0,2000
77,60,219,All-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,True,4,4 Speed Automatic,9,E85,12,Automatic transmission,2012 Chevrolet Express LS 1500 AWD,Chevrolet,2012 Chevrolet Express,2012,310,334,245,4.5,Verde,75000,5,No,No,Viana do Castelo,1,10
77,60,219,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,True,4,4 Speed Automatic,13,Gasoline,17,Automatic transmission,2011 Chevrolet Express LS 1500,Chevrolet,2011 Chevrolet Express,2011,310,334,245,4.5,Amarelo,80000,1,No,No,Bragança,4,170000
77,60,219,All-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,True,4,4 Speed Automatic,13,Gasoline,17,Automatic transmission,2011 Chevrolet Express LS 1500 AWD,Chevrolet,2011 Chevrolet Express,2011,310,334,245,5.0,Preto,95000,3,Yes,No,Porto,3,5000
22,60,219,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 280 hp 295 ft-lbs FFV,True,6,6 Speed Automatic,8,E85,12,Automatic transmission,2011 Chevrolet Express LS 2500,Chevrolet,2011 Chevrolet Express,2011,280,295,245,4.5,Encarnado,95000,1,Yes,Yes,Açores,1,1000
22,60,219,Rear-wheel drive,Chevrolet 6.0L 8 Cylinder 324 hp 373 ft-lbs FFV,True,6,6 Speed Automatic,8,E85,12,Automatic transmission,2011 Chevrolet Express LS 2500 6.0L,Chevrolet,2011 Chevrolet Express,2011,324,373,255,4.5,Azul Marinho,75000,1,No,No,Aveiro,2,300000
24,60,224,Rear-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,True,4,4 Speed Automatic,10,E85,13,Automatic transmission,2010 Chevrolet Express LS 1500,Chevrolet,2010 Chevrolet Express,2010,310,334,245,5.0,Preto,95000,5,Yes,No,Vila Real,4,20000
24,60,224,All-wheel drive,Chevrolet 5.3L 8 Cylinder 310 hp 334 ft-lbs FFV,True,4,4 Speed Automatic,13,Gasoline,17,Automatic transmission,2010 Chevrolet Express LS 1500 AWD,Chevrolet,2010 Chevrolet Express,2010,310,334,260,5.5,Verde,85000,2,Yes,No,Açores,4,250000
77,102,237,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,True,4,4 Speed Automatic,15,Gasoline,20,Automatic transmission,2011 Chevrolet Silverado 1500 Work Truck,Chevrolet,2011 Chevrolet Silverado 1500,2011,195,260,235,8.5,Amarelo,60000,4,No,Yes,Santarém,0,50000
82,215,240,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,True,4,4 Speed Automatic,14,Gasoline,19,Automatic transmission,2011 Chevrolet Silverado 1500 Crew Cab Work Truck,Chevrolet,2011 Chevrolet Silverado 1500,2011,302,305,250,5.5,Verde,80000,1,Yes,No,Viseu,2,1000
85,215,237,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,True,4,4 Speed Automatic,15,Gasoline,20,Automatic transmission,2011 Chevrolet Silverado 1500 Extended Cab Work Truck,Chevrolet,2011 Chevrolet Silverado 1500,2011,195,260,227,7.0,Laranja Lava,45000,2,No,Yes,Braga,4,40000
85,215,237,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,True,4,4 Speed Automatic,15,Gasoline,20,Automatic transmission,2010 Chevrolet Silverado 1500 Extended Cab Work Truck,Chevrolet,2010 Chevrolet Silverado 1500,2010,195,260,223,7.5,Cinzento,65000,1,No,Yes,Madeira,2,10
77,102,237,Rear-wheel drive,Chevrolet 4.3L 6 Cylinder 195 hp 260 ft-lbs,True,4,4 Speed Automatic,15,Gasoline,20,Automatic transmission,2010 Chevrolet Silverado 1500 Work Truck,Chevrolet,2010 Chevrolet Silverado 1500,2010,195,260,227,8.4,Prateado,65000,5,Yes,No,Aveiro,3,250000
82,215,240,Rear-wheel drive,Chevrolet 4.8L 8 Cylinder 302 hp 305 ft-lbs FFV,True,4,4 Speed Automatic,14,Gasoline,19,Automatic transmission,2010 Chevrolet Silverado 1500 Crew Cab Work Truck,Chevrolet,2010 Chevrolet Silverado 1500,2010,302,305,260,5.0,Azul Marinho,90000,1,No,Yes,Madeira,3,70000
43,52,52,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,True,6,6 Speed Manual,18,Gasoline,26,Manual transmission,2011 Nissan 370Z NISMO,Nissan,2011 Nissan 370Z Coupe,2011,350,276,300,3.5,Prateado,100000,4,No,Yes,Porto,2,300000
35,75,52,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,True,6,6 Speed Manual,18,Gasoline,26,Manual transmission,2010 Nissan 370Z NISMO,Nissan,2010 Nissan 370Z Coupe,2010,350,276,320,3.5,Preto,100000,2,No,No,Beja,4,250000
35,75,52,Rear-wheel drive,Nissan 3.7L 6 Cylinder 350hp 276 ft-lbs,True,6,6 Speed Manual,18,Gasoline,26,Manual transmission,2009 Nissan 370Z NISMO,Nissan,2009 Nissan 370Z Coupe,2009,350,276,290,2.0,Azul Corrida,250000,5,No,Yes,Porto,4,20000
167,168,247,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,True,6,6 Speed Manual,21,Gasoline,29,Manual transmission,2011 Volvo C30 T5,Volvo,2011 Volvo C30,2011,227,236,244,5.5,Prateado,75000,1,No,No,Açores,2,300000
167,168,247,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,True,5,5 Speed Automatic,21,Gasoline,30,Automatic transmission,2011 Volvo C30 T5 AT,Volvo,2011 Volvo C30,2011,227,236,255,4.0,Azul,75000,2,No,No,Guarda,2,1000
167,155,247,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,True,5,5 Speed Automatic,21,Gasoline,30,Automatic transmission,2010 Volvo C30 T5 AT,Volvo,2010 Volvo C30,2010,227,236,250,6.0,Laranja Lava,70000,3,Yes,No,Porto,1,200000
167,155,247,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,True,6,6 Speed Manual,21,Gasoline,29,Manual transmission,2010 Volvo C30 T5,Volvo,2010 Volvo C30,2010,227,236,247,4.0,Laranja Lava,70000,2,No,Yes,Coimbra,1,1000
193,34,107,Rear-wheel drive,Bentley 6.8L 8 cylinder 530hp 774 ft-lbs Turbo,True,6,6 Speed Automatic,9,Gasoline,15,Automatic transmission,2010 Bentley Brooklands,Bentley,2010 Bentley Brooklands,2010,530,774,350,2.0,Laranja Lava,200000,5,No,No,Coimbra,0,70000
99,195,153,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,True,6,6 Speed Automatic,8,E85,14,Automatic transmission,2012 Bentley Continental Supersports Convertible,Bentley,2012 Bentley Continental Supersports Convertible,2012,621,590,350,3.0,Verde,100000,1,No,No,Porto,2,70000
110,199,153,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,True,6,6 Speed Automatic Select Shift,8,E85,14,Automatic transmission,2012 Bentley Continental Supersports Coupe,Bentley,2012 Bentley Continental Supersports Coupe,2012,621,590,290,2.5,Verde,250000,1,Yes,No,Castelo Branco,2,170000
99,195,153,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,True,6,6 Speed Automatic,8,E85,14,Automatic transmission,2011 Bentley Continental Supersports Convertible,Bentley,2011 Bentley Continental Supersports Convertible,2011,621,590,320,2.0,Encarnado,200000,1,Yes,No,Bragança,0,5000
99,195,153,All-wheel drive,Bentley 6.0L 12 Cylinder 621 hp 590 ft-lbs FFV Turbo,True,6,6 Speed Automatic,12,Gasoline,19,Automatic transmission,2010 Bentley Continental Supersports,Bentley,2010 Bentley Continental Supersports,2010,621,590,290,2.5,Laranja Lava,150000,1,No,Yes,Faro,3,200000
118,170,184,All-wheel drive,Bentley 6.0L 12 Cylinder 552 hp 479 ft-lbs FFV Turbo,True,6,6 Speed Automatic,8,E85,13,Automatic transmission,2012 Bentley Continental Flying Spur,Bentley,2012 Bentley Continental Flying Spur,2012,552,479,270,3.0,Branco,200000,2,Yes,Yes,Vila Real,4,2000
108,170,184,All-wheel drive,Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo,True,6,6 Speed Automatic,11,Gasoline,19,Automatic transmission,2012 Bentley Continental Flying Spur Speed,Bentley,2012 Bentley Continental Flying Spur,2012,600,553,350,1.9,Encarnado,150000,2,Yes,No,Portalegre,4,1000
185,170,184,All-wheel drive,Bentley 6.0L 12 Cylinder 600 hp 553 ft-lbs FFV Turbo,True,6,6 Speed Automatic,10,Gasoline,17,Automatic transmission,2011 Bentley Continental Flying Spur Speed,Bentley,2011 Bentley Continental Flying Spur,2011,600,553,270,3.5,Laranja,150000,4,Yes,Yes,Faro,3,50000
185,170,184,All-wheel drive,Bentley 6.0L 12 cylinder 600hp 553 ft-lbs Turbo,True,6,6 Speed Automatic,10,Gasoline,17,Automatic transmission,2010 Bentley Continental Flying Spur Speed,Bentley,2010 Bentley Continental Flying Spur,2010,600,553,290,1.9,Azul Corrida,100000,1,Yes,No,Madeira,4,200000
195,170,184,All-wheel drive,Bentley 6.0L 12 cylinder 552 hp 479 ft-lbs Turbo,True,6,6 Speed Automatic,10,Gasoline,17,Automatic transmission,2010 Bentley Continental Flying Spur,Bentley,2010 Bentley Continental Flying Spur,2010,552,479,320,3.5,Azul Corrida,100000,3,No,No,Castelo Branco,2,10000
120,7,44,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,True,5,5 Speed Automatic,19,Gasoline,28,Automatic transmission,2011 Volvo C70 T5,Volvo,2011 Volvo C70,2011,227,236,250,4.5,Cinzento,90000,1,No,Yes,Lisboa,1,120000
119,230,44,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,True,6,6 Speed Manual,20,Gasoline,28,Manual transmission,2010 Volvo C70 T5,Volvo,2010 Volvo C70,2010,227,236,250,5.5,Amarelo,85000,1,No,No,Braga,0,50000
119,230,44,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,True,5,5 Speed Automatic,19,Gasoline,28,Automatic transmission,2010 Volvo C70 T5 AT,Volvo,2010 Volvo C70,2010,227,236,245,5.5,Preto,90000,3,No,Yes,Viseu,3,30000
172,123,234,Front-wheel drive,Volvo 2.4L 5 Cylinder 168 hp 166 ft-lbs,True,5,5 Speed Manual,21,Gasoline,29,Manual transmission,2010 Volvo S40 2.4i,Volvo,2010 Volvo S40,2010,168,170,237,8.2,Azul Marinho,45000,1,Yes,Yes,Faro,4,170000
172,123,234,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,True,5,5 Speed Automatic,21,Gasoline,30,Automatic transmission,2010 Volvo S40 R-Design,Volvo,2010 Volvo S40,2010,227,236,247,5.5,Azul Marinho,90000,2,No,Yes,Aveiro,2,10000
172,123,234,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,True,5,5 Speed Automatic,21,Gasoline,30,Automatic transmission,2011 Volvo S40 T5,Volvo,2011 Volvo S40,2011,227,236,255,4.5,Azul Marinho,75000,3,No,No,Madeira,1,170000
190,123,234,All-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,True,6,6 Speed Manual,20,Gasoline,27,Manual transmission,2010 Volvo S40 R-Design AWD,Volvo,2010 Volvo S40,2010,227,236,245,4.0,Branco,95000,1,Yes,Yes,Braga,2,60000
203,19,72,Front-wheel drive,Volvo 2.5L 5 Cylinder 250 hp 266 ft-lbs Turbo,True,6,6 Speed Automatic Select Shift,20,Gasoline,30,Automatic transmission,2012 Volvo S60 T5,Volvo,2012 Volvo S60,2012,250,266,245,5.5,Branco,70000,1,No,Yes,Aveiro,3,70000
203,19,72,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,True,6,6 Speed Automatic Select Shift,18,Gasoline,26,Automatic transmission,2012 Volvo S60 T6 AWD,Volvo,2012 Volvo S60,2012,300,325,250,5.5,Azul Corrida,80000,4,No,No,Madeira,1,70000
203,19,72,All-wheel drive,Volvo 3.0 L 6 Cylinder 325 HP 354 ft-lbs Turbo,True,6,6 Speed Automatic Select Shift,18,Gasoline,26,Automatic transmission,2012 Volvo S60 R-Design,Volvo,2012 Volvo S60,2012,325,354,260,6.0,Azul Corrida,95000,5,No,No,Aveiro,4,40000
203,14,72,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,True,6,6 Speed Automatic,18,Gasoline,26,Automatic transmission,2011 Volvo S60 T6 AWD,Volvo,2011 Volvo S60,2011,300,325,255,5.0,Azul Marinho,90000,1,Yes,No,Castelo Branco,0,100000
213,243,69,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,True,6,6 Speed Automatic Select Shift,19,Gasoline,27,Automatic transmission,2011 Volvo S80 3.2,Volvo,2011 Volvo S80,2011,240,236,260,6.0,Amarelo,90000,3,No,No,Vila Real,2,170000
213,243,69,All-wheel drive,Volvo 4.4L 8 Cylinder 311 hp 325 ft-lbs,True,6,6 Speed Automatic,15,Gasoline,22,Automatic transmission,2010 Volvo S80 V8,Volvo,2010 Volvo S80,2010,311,325,255,5.5,Azul,70000,2,Yes,Yes,Vila Real,3,30000
213,243,69,All-wheel drive,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,True,6,6 Speed Automatic Select Shift,16,Gasoline,24,Automatic transmission,2010 Volvo S80 T6 AWD,Volvo,2010 Volvo S80,2010,281,295,244,5.5,Laranja Lava,80000,1,Yes,Yes,Faro,1,70000
213,243,69,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,True,6,6 Speed Automatic,18,Gasoline,27,Automatic transmission,2010 Volvo S80 3.2,Volvo,2010 Volvo S80,2010,235,236,250,5.0,Cinzento,95000,1,Yes,Yes,Viana do Castelo,1,170000
177,169,234,Front-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,True,5,5 Speed Automatic,21,Gasoline,30,Automatic transmission,2011 Volvo V50 T5,Volvo,2011 Volvo V50,2011,227,236,247,5.0,Laranja,75000,1,Yes,No,Faro,3,80000
193,169,234,All-wheel drive,Volvo 2.5L 5 Cylinder 227 hp 236 ft-lbs Turbo,True,6,6 Speed Manual,20,Gasoline,26,Manual transmission,2010 Volvo V50 R-Design,Volvo,2010 Volvo V50,2010,227,236,247,5.5,Laranja Lava,90000,3,Yes,Yes,Aveiro,1,250000
177,169,234,Front-wheel drive,Volvo 2.4L 5 Cylinder 168 hp 166 ft-lbs,True,5,5 Speed Automatic Select Shift,20,Gasoline,31,Automatic transmission,2010 Volvo V50 2.4i,Volvo,2010 Volvo V50,2010,168,170,240,7.4,Preto,50000,4,Yes,No,Portalegre,3,5000
175,19,97,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,True,6,6 Speed Automatic,17,Gasoline,22,Automatic transmission,2011 Volvo XC60 T6 AWD,Volvo,2011 Volvo XC60,2011,300,325,260,5.0,Azul Marinho,95000,1,No,No,Viana do Castelo,2,20000
175,19,97,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,True,6,6 Speed Automatic,18,Gasoline,25,Automatic transmission,2011 Volvo XC60 3.2,Volvo,2011 Volvo XC60,2011,240,236,247,5.5,Laranja Lava,80000,2,Yes,No,Beja,2,10000
175,19,97,All-wheel drive,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,True,6,6 Speed Automatic Select Shift,16,Gasoline,21,Automatic transmission,2010 Volvo XC60 T6 AWD,Volvo,2010 Volvo XC60,2010,281,295,245,4.5,Cinzento,75000,2,No,No,Viana do Castelo,3,2000
175,19,97,Front-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,True,6,6 Speed Automatic,18,Gasoline,27,Automatic transmission,2010 Volvo XC60 3.2,Volvo,2010 Volvo XC60,2010,235,236,244,5.5,Cinzento,70000,2,Yes,No,Açores,3,1000
66,230,69,Front-wheel drive,Volvo 3.2 L 6 cylinder 240 hp 236 ft-lbs,True,6,6 Speed Automatic,18,Gasoline,25,Automatic transmission,2011 Volvo XC70 3.2,Volvo,2011 Volvo XC70,2011,240,236,245,5.0,Branco,75000,3,Yes,No,Beja,4,300000
66,230,69,All-wheel drive,Volvo 3.0 L 6 Cylinder 300 HP 325 ft-lbs Turbo,True,6,6 Speed Automatic,17,Gasoline,22,Automatic transmission,2011 Volvo XC70 T6 AWD,Volvo,2011 Volvo XC70,2011,300,325,250,5.5,Prateado,70000,1,Yes,No,Santarém,0,40000
66,230,69,All-wheel drive,Volvo 3.0L 6 Cylinder 281 hp 295 ft-lbs Turbo,True,6,6 Speed Automatic,16,Gasoline,21,Automatic transmission,2010 Volvo XC70 T6 AWD,Volvo,2010 Volvo XC70,2010,281,295,247,6.0,Laranja Lava,95000,2,No,No,Viseu,4,1000
66,230,69,All-wheel drive,Volvo 3.2L 6 Cylinder 235 hp 236 ft-lbs,True,6,6 Speed Automatic,16,Gasoline,22,Automatic transmission,2010 Volvo XC70 3.2,Volvo,2010 Volvo XC70,2010,235,236,260,5.0,Azul,95000,5,No,No,Lisboa,3,40000
24,216,133,Rear-wheel drive,Toyota 4.0L 6 Cylinder 270 hp 278 ft-lbs,True,5,5 Speed Automatic,17,Gasoline,23,Automatic transmission,2011 Toyota 4Runner SR5,Toyota,2011 Toyota 4Runner,2011,270,278,245,5.5,Azul,90000,1,No,Yes,Açores,0,60000
